boardCode,academicYear,classLevel,subjectName,subjectStableKey,defaultSelected,optional,verificationStatus,chapterSequence,chapterName,chapterStableKey,topicSequence,topicName,topicStableKey
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,1,Listening and Speaking,c1-1-ch1,1,Greetings and introductions,c1-1-ch1-t1
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,1,Listening and Speaking,c1-1-ch1,2,Following simple instructions,c1-1-ch1-t2
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,1,Listening and Speaking,c1-1-ch1,3,Rhymes and sound patterns,c1-1-ch1-t3
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,1,Listening and Speaking,c1-1-ch1,4,Talking about family and surroundings,c1-1-ch1-t4
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,2,Early Reading,c1-1-ch2,1,Letter-sound relationships,c1-1-ch2-t1
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,2,Early Reading,c1-1-ch2,2,Sight words,c1-1-ch2-t2
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,2,Early Reading,c1-1-ch2,3,Picture reading,c1-1-ch2-t3
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,2,Early Reading,c1-1-ch2,4,Reading short sentences,c1-1-ch2-t4
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,3,Early Writing,c1-1-ch3,1,Letter formation,c1-1-ch3-t1
CBSE,2026-27,1,English,cbse-2026-27-c1-english,True,False,CURATED_FROM_OFFICIAL_SOURCE,3,Early Writing,c1-1-ch3,2,Word building,c1-1-ch3-t2
